Code,Description,LAT,LON
10137,"Abidjan, Cote d'Ivoire: Felix Houphouet Boigny Abidjan International",,
10138,"Kabri Dar, Ethiopia: Kebri Dahar",,
10139,"Ambler, AK: Ambler River",67.1058333,-157.8536111
10140,"Albuquerque, NM: Albuquerque International Sunport",35.03766945,-106.61096752176843
10141,"Aberdeen, SD: Aberdeen Regional",45.446144,-98.4206490345065
10142,"Abu Simbel, Egypt: Abu Simbel Airport",22.37222945,31.613026899625076
10143,"Al-Baha, Saudi Arabia: King Saud Bin Abdulaziz",,
10144,"Abuja, Nigeria: Nnamdi Azikiwe International",9.00706695,7.265149872934907
10145,"Albury, Australia: Albury Airport",-36.06894285,146.95187679604825
10146,"Albany, GA: Southwest Georgia Regional",31.533967800000003,-84.19254493414799
10147,"Aberdeen, United Kingdom: Aberdeen Dyce",57.20195485,-2.2019913504766446
10148,"Acapulco, Mexico: General Juan N Alvarez International",,
10149,"Bellaire, MI: Antrim County",44.98832545,-85.19719629581978
10150,"Accra, Ghana: Accra Kotoka International",5.6039335,-0.16804352307417011
10151,"Arrecife, Spain: Lanzarote",28.94568045,-13.60758816051166
10152,"Altenrhein, Switzerland: St Gallen Altenrhein",47.485960299999995,9.5598603
10153,"Alderney, United Kingdom: Alderney Airport",49.70694185,-2.2144986184227604
10154,"Nantucket, MA: Nantucket Memorial",41.25579665,-70.05803594243703
10155,"Waco, TX: Waco Regional",31.6133017,-97.22638616208538
10156,"Achutupo, Panama: Achutupo Airport",,
10157,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",40.9763645,-124.10842589937442
10158,"Atlantic City, NJ: Atlantic City International",39.45708535,-74.57027649092205
10159,"Adana, Turkey: Adana International",36.98247135,35.28787786654746
10160,"Izmir, Turkey: Adnan Menderes",38.2925,27.1569
10161,"Andakombe, Papua New Guinea: Andakombe Airport",,
10162,"Addis Ababa, Ethiopia: Bole International",8.9793576,38.796594318258684
10163,"Aden, Yemen: Aden International",12.83009835,45.031867891819175
10164,"Amman, Jordan: Marka International",19.434147699999997,-99.0734620116513
10165,"Adak Island, AK: Adak",51.8787391,-176.6443528
10166,"Adelaide, Australia: Adelaide International",-34.938928700000005,138.53750349121623
10167,"Ardmore, OK: Ardmore Municipal",34.3028,-97.0192
10168,"Andes, Colombia: Andes Airport",42.038565500000004,-74.77564140000001
10169,"Andamooka, Australia: Andamooka Airport",-30.4395006,137.13618540000002
10170,"Kodiak, AK: Kodiak Airport",57.74972220000001,-152.4936111
10171,"Dallas, TX: Addison",32.969998600000004,-96.83667739319338
10172,"Camp Springs, MD: Joint Base Andrews",38.805660499999995,-76.87740312386032
10173,"St Andrews, United Kingdom: RAF Leuchars",,
10174,"San Andres Island, Colombia: Gustavo Rojas Pinilla",5.5395734,-73.34681859999999
10175,"Al Dhafra, United Arab Emirates: Al Dhafra Air Base",24.23860775,54.552171984088325
10176,"Aleneva, AK: Aleneva Airport",,
10177,"Padang Sidempuan, Indonesia: Aek Godang",1.39972375,99.42988359304005
10178,"Abeche, Chad: Abeche Airport",13.8465712,20.849641708131923
10180,"Aioun El Atrouss, Mauritania: Aioun El Atrouss Airport",,
10181,"Buenos Aires, Argentina: Aeroparque Jorge Newbery",-34.5592566,-58.41467417233153
10182,"Adler/Sochi, Russia: Adler/Sochi Airport",43.44394455,39.94010004451747
10183,"Aalesund, Norway: Vigra",62.56018535,6.113415709021157
10184,"Allakaket, AK: Allakaket Airport",66.55193399999999,-152.62144819086524
10185,"Alexandria, LA: Alexandria International",31.32927365,-92.5409237515579
10186,"Akureyri, Iceland: Akureyri Airport",65.65698725,-18.07060796321317
10188,"San Rafael, Argentina: San Rafael Airport",-14.2820767,-70.3841977
10189,"Colorado Springs, CO: USAF Academy Airfield",38.77406895,-104.30153449109022
10190,"Nebraska, NE: Nebraska City Municipal",40.60662625000001,-95.86586840264314
10191,"Afton, WY: Afton Municipal",42.709239700000005,-110.94074920000001
10192,"Wadesboro, NC: Anson County Jeff Cloud Field",35.0225291,-80.0803892
10194,"Dallas/Fort Worth, TX: Fort Worth Alliance",32.992997849999995,-97.31853395087673
10195,"Afyon, Turkey: Afyon Airport",38.726425,30.601114000000003
10196,"Agadir, Morocco: Inezgane",30.38186025,-9.549720490266726
10197,"Augsburg, Germany: Augsburg Airport",40.0379753,52.97707605
10198,"Pittsburgh, PA: Allegheny County",40.3534454,-79.92904654320128
10199,"Agen, France: Agen La Garenne",,
10200,"Angoram, Papua New Guinea: Angoram Airport",-4.0569822,144.07405839326935
10201,"Angelholm/Helsingborg, Sweden: Angelholm",56.2972346,12.85284683589842
10202,"Kagua, Papua New Guinea: Kagua Airport",-6.8775171,143.7219429
10203,"Wanigela, Papua New Guinea: Wanigela Airport",,
10204,"Angoon, AK: Angoon Seaplane Base",57.5033333,-134.585
10205,"Malaga, Spain: Malaga Airport",36.67876135,-4.499980126161259
10206,"Agrinion, Greece: Agrinion Airport",38.6137021,21.3929834
10207,"Agra, India: Agra Airport",27.156602799999998,77.95049581657288
10208,"Augusta, GA: Augusta Regional at Bush Field",33.37230205,-81.9650639098103
10209,"Ciudad del Este, Paraguay: Guarani International",-25.45576675,-54.843629771503295
10210,"Aguascalientes, Mexico: Jesus Teran International",,
10211,"Acarigua, Venezuela: Oswaldo Guevara Mujica",9.550348699999999,-69.2358430277216
10212,"Agatti Island, India: Agatti Island Airport",10.82303955,72.1751756961408
10213,"Okinawa, Japan: Naha AB",3.68577835,125.52733398955935
10214,"Abha, Saudi Arabia: Abha Airport",18.2416611,42.65376644973918
10215,"Ardmore, OK: Ardmore Downtown Executive",34.1470396,-97.1227915
10216,"Athens, GA: Athens/Ben Epps",33.94870529999999,-83.32973997812988
10217,"Alghero/Sassari, Italy: Alghero",40.63087935,8.288375274221513
10218,"Ahuas, Honduras: Auas",-22.777057199999998,17.2860867
10219,"Amchitka Island, AK: Amchitka",,
10220,"Al Hoceima, Morocco: Cherif El Idrissi International",,
10221,"Alliance, NE: Alliance Municipal",42.0575902,-102.81025109999999
10222,"Anita Bay, AK: Anita Bay Airport",41.4422113,-94.76645079999999
