YEAR,QUARTER,MONTH,AIRLINE_ID,UNIQUE_CARRIER,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOM_GALLONS,SDOMT_GALLONS,SATL_GALLONS,SPAC_GALLONS,SLAT_GALLONS,SINT_GALLONS,TS_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,NATL_GALLONS,NPAC_GALLONS,NLAT_GALLONS,MAC_GALLONS,NINT_GALLONS,TN_GALLONS,TDOMT_GALLONS,TINT_GALLONS,TOTAL_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,SATL_COST,SPAC_COST,SLAT_COST,SINT_COST,TS_COST,NALA_COST,NDOM_COST,NDOMT_COST,NATL_COST,NPAC_COST,NLAT_COST,MAC_COST,NINT_COST,TN_COST,TDOMT_COST,TINT_COST,TOTAL_COST
2010,1,1,20194.0,JW,JW,Arrow Air Inc.,2,0.0,32589.0,32589.0,0.0,0.0,4140947.0,4140947.0,4173536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32589.0,4140947.0,4173536.0,0.0,76274.0,76274.0,0.0,0.0,9027842.0,9027842.0,9104116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76274.0,9027842.0,9104116.0
2010,1,1,20370.0,KAQ,KAQ,Kalitta Air LLC,2,0.0,0.0,0.0,221001.0,0.0,0.0,221001.0,221001.0,0.0,2439261.0,2439261.0,4520988.0,1068352.0,0.0,2236825.0,7826165.0,10265426.0,2439261.0,8047166.0,10486427.0,0.0,0.0,0.0,436113.0,0.0,0.0,436113.0,436113.0,0.0,5005778.0,5005778.0,10160603.0,2378100.0,0.0,5581135.0,18119838.0,23125616.0,5005778.0,18555951.0,23561729.0
2010,1,1,20169.0,L2,L2,Lynden Air Cargo Airlines,1,94370.0,0.0,94370.0,0.0,0.0,0.0,0.0,94370.0,20796.0,0.0,20796.0,24417.0,9781.0,116087.0,164645.0,314930.0,335726.0,115166.0,314930.0,430096.0,240015.0,0.0,240015.0,0.0,0.0,0.0,0.0,240015.0,62741.0,0.0,62741.0,62609.0,84128.0,284336.0,508833.0,939906.0,1002647.0,302756.0,939906.0,1242662.0
2010,1,1,21217.0,L3,L3,Lynx Aviation d/b/a Frontier Airlines,1,0.0,831480.0,831480.0,0.0,0.0,0.0,0.0,831480.0,0.0,415.0,415.0,0.0,0.0,0.0,0.0,0.0,415.0,831895.0,0.0,831895.0,0.0,1872974.0,1872974.0,0.0,0.0,0.0,0.0,1872974.0,0.0,1077.0,1077.0,0.0,0.0,0.0,0.0,0.0,1077.0,1874051.0,0.0,1874051.0
2010,1,1,20151.0,M6,M6,Amerijet International,2,0.0,0.0,0.0,0.0,0.0,1040522.0,1040522.0,1040522.0,0.0,9731.0,9731.0,0.0,0.0,287716.0,0.0,287716.0,297447.0,9731.0,1328238.0,1337969.0,0.0,0.0,0.0,0.0,0.0,2455632.0,2455632.0,2455632.0,0.0,22965.0,22965.0,0.0,0.0,679010.0,0.0,679010.0,701975.0,22965.0,3134642.0,3157607.0
2010,1,1,20398.0,MQ,MQ,American Eagle Airlines Inc.,3,0.0,20091700.0,20091700.0,0.0,0.0,202946.0,202946.0,20294646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20091700.0,202946.0,20294646.0,0.0,46770497.0,46770497.0,0.0,0.0,472429.0,472429.0,47242926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46770497.0,472429.0,47242926.0
2010,1,1,20415.0,,,North American Airlines,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64548.0,64548.0,17173.0,0.0,18983.0,2873371.0,2909527.0,2974075.0,64548.0,2909527.0,2974075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140715.0,140715.0,38296.0,0.0,46128.0,8102908.0,8187332.0,8328047.0,140715.0,8187332.0,8328047.0
2010,1,1,20108.0,NC,NC,Northern Air Cargo Inc.,1,315861.0,0.0,315861.0,0.0,0.0,0.0,0.0,315861.0,9514.0,50424.0,59938.0,0.0,0.0,0.0,0.0,0.0,59938.0,375799.0,0.0,375799.0,710240.0,0.0,710240.0,0.0,0.0,0.0,0.0,710240.0,21393.0,113382.0,134775.0,0.0,0.0,0.0,0.0,0.0,134775.0,845015.0,0.0,845015.0
2010,1,1,20416.0,NK,NK,Spirit Air Lines,2,0.0,6500000.0,6500000.0,0.0,0.0,1535000.0,1535000.0,8035000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500000.0,1535000.0,8035000.0,0.0,17021000.0,17021000.0,0.0,0.0,4019000.0,4019000.0,21040000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17021000.0,4019000.0,21040000.0
2010,1,1,20417.0,OH (1),OH,Comair Inc.,3,0.0,7828467.0,7828467.0,0.0,0.0,0.0,0.0,7828467.0,0.0,6533.0,6533.0,0.0,0.0,0.0,0.0,0.0,6533.0,7835000.0,0.0,7835000.0,0.0,17795222.0,17795222.0,0.0,0.0,0.0,0.0,17795222.0,0.0,14850.0,14850.0,0.0,0.0,0.0,0.0,0.0,14850.0,17810072.0,0.0,17810072.0
