COUNT,DATE
1622,2014-02-08
898,2014-02-09
1460,2014-02-10
994,2014-02-11
1341,2014-02-12
2862,2014-02-13
2009,2014-02-14
1487,2014-02-15
1254,2014-02-16
1280,2014-02-17
1961,2014-02-18
1066,2014-02-19
1025,2014-02-20
1793,2014-02-21
1421,2014-02-22
1483,2014-02-23
1279,2014-02-24
1053,2014-02-25
1161,2014-02-26
1172,2014-02-27
1429,2014-02-28
1187,2014-03-01
1311,2014-03-02
1725,2014-03-03
1458,2014-03-04
1165,2014-03-05
1351,2014-03-06
1091,2014-03-07
1104,2014-03-08
1100,2014-03-09
1136,2014-03-10
749,2014-03-11
1201,2014-03-12
1534,2014-03-13
1273,2014-03-14
1015,2014-03-15
1231,2014-03-16
1274,2014-03-17
1134,2014-03-18
933,2014-03-19
1089,2014-03-20
913,2014-03-21
966,2014-03-22
889,2014-03-23
915,2014-03-24
848,2014-03-25
910,2014-03-26
1060,2014-03-27
1217,2014-03-28
1116,2014-03-29
1297,2014-03-30
1270,2014-03-31
1167,2014-04-01
1125,2014-04-02
990,2014-04-03
1099,2014-04-04
1011,2014-04-05
842,2014-04-06
1059,2014-04-07
1161,2014-04-08
1361,2014-04-09
1167,2014-04-10
1165,2014-04-11
750,2014-04-12
714,2014-04-13
1426,2014-04-14
1335,2014-04-15
1149,2014-04-16
1754,2014-04-17
1723,2014-04-18
749,2014-04-19
878,2014-04-20
984,2014-04-21
982,2014-04-22
856,2014-04-23
1060,2014-04-24
1144,2014-04-25
799,2014-04-26
762,2014-04-27
1353,2014-04-28
1056,2014-04-29
1070,2014-04-30
1184,2014-05-01
1190,2014-05-02
636,2014-05-03
979,2014-05-04
978,2014-05-05
815,2014-05-06
1022,2014-05-07
1250,2014-05-08
1409,2014-05-09
2022,2014-05-10
1200,2014-05-11
1598,2014-05-12
2094,2014-05-13
1817,2014-05-14
2189,2014-05-15
2274,2014-05-16
1152,2014-05-17
952,2014-05-18
1748,2014-05-19
953,2014-05-20
1273,2014-05-21
1311,2014-05-22
4193,2014-05-23
2149,2014-05-24
891,2014-05-25
888,2014-05-26
1317,2014-05-27
1650,2014-05-28
1137,2014-05-29
1009,2014-05-30
944,2014-05-31
814,2014-06-01
