,status,start_date,start_station,end_date,end_station,bike_nr,subsc_type,zip_code,birth_date,gender,id,start_hour,end_hour,start_weekday,end_weekday,trip_duration,age,start_coordinates,end_coordinates,start_municipal,end_municipal,start_latitude,start_longitude,end_latitude,end_longitude,stations_exist
8088,Closed,2011-08-06 08:16:00,50.0,2011-08-06 08:20:00,21.0,B00144,REGISTERED,'02116,1977.0,Male,OC82LzIwMTEgMDg6MTY6MDA6OC82LzIwMTEgMDg6MjA6MDA6NTAuMDoyMS4wOkIwMDE0NA==,8,8,5,5,240,42.0,"42.3500548,-71.0774775","42.34708765,-71.0816656804431",Boston,Boston,42.3500548,-71.0774775,42.34708765,-71.0816656804431,True
8089,Closed,2011-08-06 08:17:00,44.0,2011-08-06 08:39:00,20.0,B00493,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDg6MTc6MDA6OC82LzIwMTEgMDg6Mzk6MDA6NDQuMDoyMC4wOkIwMDQ5Mw==,8,8,5,5,1320,2019.0,"42.3600335,-71.05623415","47.89376835,3.10927507493543",Boston,Boston,42.3600335,-71.05623415,47.89376835,3.10927507493543,True
8090,Closed,2011-08-06 08:16:00,20.0,2011-08-06 08:42:00,27.0,B00008,REGISTERED,'02128,1981.0,Female,OC82LzIwMTEgMDg6MTY6MDA6OC82LzIwMTEgMDg6NDI6MDA6MjAuMDoyNy4wOkIwMDAwOA==,8,8,5,5,1560,38.0,"47.89376835,3.10927507493543","47.89376835,3.10927507493543",Boston,Boston,47.89376835,3.10927507493543,47.89376835,3.10927507493543,True
8091,Closed,2011-08-06 08:17:00,44.0,2011-08-06 08:39:00,20.0,B00419,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDg6MTc6MDA6OC82LzIwMTEgMDg6Mzk6MDA6NDQuMDoyMC4wOkIwMDQxOQ==,8,8,5,5,1320,2019.0,"42.3600335,-71.05623415","47.89376835,3.10927507493543",Boston,Boston,42.3600335,-71.05623415,47.89376835,3.10927507493543,True
8092,Closed,2011-08-06 08:18:00,49.0,2011-08-06 16:19:00,49.0,B00131,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDg6MTg6MDA6OC82LzIwMTEgMTY6MTk6MDA6NDkuMDo0OS4wOkIwMDEzMQ==,8,16,5,5,28860,2019.0,"42.3003827,-71.0624746","42.3003827,-71.0624746",Boston,Boston,42.3003827,-71.0624746,42.3003827,-71.0624746,True
8093,Closed,2011-08-06 08:24:00,10.0,2011-08-06 08:45:00,49.0,B00530,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDg6MjQ6MDA6OC82LzIwMTEgMDg6NDU6MDA6MTAuMDo0OS4wOkIwMDUzMA==,8,8,5,5,1260,2019.0,"-34.8484354,-58.2756612","42.3003827,-71.0624746",Boston,Boston,-34.8484354,-58.2756612,42.3003827,-71.0624746,True
8094,Closed,2011-08-06 08:23:00,42.0,2011-08-06 08:42:00,50.0,B00515,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDg6MjM6MDA6OC82LzIwMTEgMDg6NDI6MDA6NDIuMDo1MC4wOkIwMDUxNQ==,8,8,5,5,1140,2019.0,"42.3491713,-71.0695618","42.3500548,-71.0774775",Boston,Boston,42.3491713,-71.0695618,42.3500548,-71.0774775,True
8095,Closed,2011-08-06 08:28:00,16.0,2011-08-06 08:31:00,50.0,B00528,REGISTERED,'01504,1969.0,Male,OC82LzIwMTEgMDg6Mjg6MDA6OC82LzIwMTEgMDg6MzE6MDA6MTYuMDo1MC4wOkIwMDUyOA==,8,8,5,5,180,50.0,"42.3507067,-71.0797297","42.3500548,-71.0774775",Boston,Boston,42.3507067,-71.0797297,42.3500548,-71.0774775,True
8096,Closed,2011-08-06 08:31:00,41.0,2011-08-06 09:51:00,33.0,B00094,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDg6MzE6MDA6OC82LzIwMTEgMDk6NTE6MDA6NDEuMDozMy4wOkIwMDA5NA==,8,9,5,5,4800,2019.0,"42.3517566,-71.1253325","42.3489544,-71.0956327",Boston,Boston,42.3517566,-71.1253325,42.3489544,-71.0956327,True
8097,Closed,2011-08-06 08:32:00,20.0,2011-08-06 09:01:00,20.0,B00539,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDg6MzI6MDA6OC82LzIwMTEgMDk6MDE6MDA6MjAuMDoyMC4wOkIwMDUzOQ==,8,9,5,5,1740,2019.0,"47.89376835,3.10927507493543","47.89376835,3.10927507493543",Boston,Boston,47.89376835,3.10927507493543,47.89376835,3.10927507493543,True
8098,Closed,2011-08-06 08:42:00,25.0,2011-08-06 10:21:00,16.0,B00242,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDg6NDI6MDA6OC82LzIwMTEgMTA6MjE6MDA6MjUuMDoxNi4wOkIwMDI0Mg==,8,10,5,5,5940,2019.0,"42.3582926,-71.0602525","42.3507067,-71.0797297",Boston,Boston,42.3582926,-71.0602525,42.3507067,-71.0797297,True
8099,Closed,2011-08-06 08:43:00,46.0,2011-08-06 09:23:00,46.0,B00239,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDg6NDM6MDA6OC82LzIwMTEgMDk6MjM6MDA6NDYuMDo0Ni4wOkIwMDIzOQ==,8,9,5,5,2400,2019.0,"42.34434735,-71.0835021653958","42.34434735,-71.0835021653958",Boston,Boston,42.34434735,-71.0835021653958,42.34434735,-71.0835021653958,True
8100,Closed,2011-08-06 08:45:00,39.0,2011-08-06 08:50:00,21.0,B00471,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDg6NDU6MDA6OC82LzIwMTEgMDg6NTA6MDA6MzkuMDoyMS4wOkIwMDQ3MQ==,8,8,5,5,300,2019.0,"42.3387682,-71.0747191","42.34708765,-71.0816656804431",Boston,Boston,42.3387682,-71.0747191,42.34708765,-71.0816656804431,True
8101,Closed,2011-08-06 08:47:00,50.0,2011-08-06 09:03:00,50.0,B00304,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDg6NDc6MDA6OC82LzIwMTEgMDk6MDM6MDA6NTAuMDo1MC4wOkIwMDMwNA==,8,9,5,5,960,2019.0,"42.3500548,-71.0774775","42.3500548,-71.0774775",Boston,Boston,42.3500548,-71.0774775,42.3500548,-71.0774775,True
